site_ref,site_name,site_lat,site_lon,site_alt,obs_source,obs_station_id,obs_station_url,obs_station_distance_m,obs_station_tier,obs_station_qc,obs_station_last_obs_epoch,generated_utc
pge:15649-lz,S.E Bonny Hills Landing,-31.608900,152.839000,0,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15650-lz,N.E Bonny Hills Landing,-31.594800,152.842000,19,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15933-lz,Point Pass Landing,-34.035100,139.034000,415,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15952-lz,Cape Liptrap Landing,-38.904800,145.920000,90,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15966-lz,Great Missendon Landing,-37.080200,145.178000,156,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15967-lz,Mt Dandenong Landing,-37.846700,145.323000,155,wu-pws,IMELBO1232,https://www.wunderground.com/dashboard/pws/IMELBO1232,616,nearby,1,1788818560,2026-09-08T22:24:16Z
pge:15968-lz,Donna Buang Landing,-37.751200,145.651000,135,wu-pws,IMILLG6,https://www.wunderground.com/dashboard/pws/IMILLG6,197,on-site,1,1788804096,2026-09-08T22:24:16Z
pge:16087-lz,Flight area Landing,-27.296100,152.712000,348,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:17691-lz,Boree Creek Landing,-35.127000,146.612000,151,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:17692-lz,Leeton Gliding Club Landing,-34.498000,146.449000,147,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:18616-lz,Broome Cable Beach Landing,-17.929500,122.210000,13,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:18622-lz,Rabbit Hill Landing,-33.633500,115.030000,33,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:18680-lz,Quinns Beach Launch Landing,-31.663200,115.689000,0,wu-pws,IPERTH2973,https://www.wunderground.com/dashboard/pws/IPERTH2973,327,nearby,-1,1788854400,2026-09-08T22:24:16Z
pge:18686-lz,Contos Landing,-34.083600,115.003000,15,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:18779-lz,Long Reef SE Landing,-33.742300,151.313000,9,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:18871-lz,Mona Vale Landing,-33.676300,151.316000,1,wu-pws,ISYDNE3259,https://www.wunderground.com/dashboard/pws/ISYDNE3259,316,nearby,1,1788772736,2026-09-08T22:24:16Z
pge:18874-lz,Newport Landing,-33.651300,151.324000,3,wu-pws,ISYDNE414,https://www.wunderground.com/dashboard/pws/ISYDNE414,698,nearby,1,1783002496,2026-09-08T22:24:16Z
pge:21219-lz,Long Reef Northfacing Landing,-33.739200,151.309000,9,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:21220-lz,North Head Landing,-33.793700,151.288000,5,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:4632-lz,"Manilla, Mt Borah (NSW) Landing",-30.683100,150.597000,538,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:4642-lz,Lennox Head Landing,-28.802300,153.598000,4,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:4649-lz,Rainbow Beach Landing,-25.917600,153.103000,67,wu-pws,IRAINB24,https://www.wunderground.com/dashboard/pws/IRAINB24,1810,nearby,-1,1788789504,2026-09-08T22:24:16Z
pge:4659-lz,"Injidup, Margaret River WA Landing",-33.701500,114.983000,17,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:6595-lz,Mystic (Bright) Landing,-36.749300,146.980000,341,wu-pws,IWANDI26,https://www.wunderground.com/dashboard/pws/IWANDI26,466,nearby,1,1788821248,2026-09-08T22:24:16Z
pge:6635-lz,Flowerdale (3 Sisters) Landing,-37.285700,145.271000,266,wu-pws,ISTRAT31,https://www.wunderground.com/dashboard/pws/ISTRAT31,1456,nearby,-1,1788791040,2026-09-08T22:24:16Z
pge:6784-lz,Peeralilla Hill Landing,-35.481800,138.611000,40,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:6802-lz,Winton Landing,-42.679600,147.224000,38,wu-pws,IHOBAR551,https://www.wunderground.com/dashboard/pws/IHOBAR551,913,nearby,-1,1788769920,2026-09-08T22:24:16Z
pge:7270-lz,Crackneck Lookout Landing,-33.383700,151.484000,5,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:7588-lz,"Crommarty Hill, Forresters Beach Landing",-33.411400,151.466000,5,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:7595-lz,Moonies Landing,-33.169600,151.631000,6,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:7600-lz,Catherine Hill Bay Landing,-33.149700,151.632000,5,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:7606-lz,North Brother Landing,-31.669100,152.795000,0,wu-pws,,,,,,,2026-09-08T22:24:16Z
