id,ref,name,longitude,latitude,altitude,country,wind_n,wind_ne,wind_e,wind_se,wind_s,wind_sw,wind_w,wind_nw,source,closed,site_type,tow,site_group,primary
97,pge:10114,La Solana,-0.838700,38.640500,671,es,0,0,0,2,2,0,0,0,pge:10114,,launch,0,pge:10114,pge
98,pge:10116,Op Het Eiland,6.483300,52.158300,13,nl,1,2,1,0,1,2,1,0,pge:10116,,launch,1,pge:10116,pge
99,pge:10119,"Bukit Jugra, Banting",101.418000,2.835400,100,my,0,0,0,1,2,0,0,0,pge:10119,,launch,0,pge:10119,pge
100,pge:10120,cengiz arsu kalkýs pisti,35.000000,40.000000,1061,tr,2,2,0,0,0,0,0,2,pge:10120,,launch,0,pge:10120,pge
101,pge:10124,Albergue,-3.973900,36.825600,685,es,0,0,1,2,1,0,0,0,pge:10124,,launch,0,pge:10124,pge
102,pge:10125,Mung,72.896000,33.904300,580,pk,2,2,0,0,0,0,0,2,pge:10125,,launch,0,pge:10125,pge
103,pge:10126,Express Way Site,73.403800,33.903100,1995,pk,0,0,2,2,2,0,0,0,pge:10126,,launch,0,pge:10126,pge
104,pge:10127,Cochrane,-114.449000,51.195500,1340,ca,0,0,0,1,2,2,0,0,pge:10127,,launch,0,pge:10127,pge
105,pge:10128,Channing hill - Benicia,-122.181000,38.097600,200,us,0,0,2,0,0,0,2,0,pge:10128,,launch,0,pge:10128,pge
106,pge:10129,Kilcoy,152.602000,-26.809700,489,au,0,0,0,0,0,0,0,0,pge:10129,,launch,0,pge:10129,pge
107,pge:10130,Wadi bin hammad,35.693600,31.271400,941,jo,0,0,0,0,0,0,0,2,pge:10130,,launch,0,pge:10130,pge
108,pge:10131,Huayllani,-66.056900,-17.357500,3300,bo,0,0,1,2,2,2,1,0,pge:10131,,launch,0,pge:10131,pge
109,pge:10132,Yaquina Head,-124.067000,44.674800,103,us,2,0,0,0,2,2,1,2,pge:10132,,launch,0,pge:10132,pge
110,pge:10133,La Ceja Tapalpa,-103.654000,19.935400,2150,mx,0,1,2,2,2,0,0,0,pge:10133,,launch,0,pge:10133,pge
111,pge:10134,Rosbeigh,-9.980200,52.047500,255,ie,2,1,0,1,1,0,1,2,pge:10134,,launch,0,pge:10134,pge
112,pge:10135,Aarvollbakke (Oslo),10.820300,59.946100,181,no,0,0,0,1,2,2,1,0,pge:10135,,launch,0,pge:10135,pge
113,pge:10136,Grefsenkollen,10.800100,59.956600,318,no,0,0,0,0,0,2,2,1,pge:10136,,launch,0,pge:10136,pge
114,pge:10137,Roghi,28.213800,46.775800,125,md,2,2,1,0,0,0,1,2,pge:10137,,launch,0,pge:10137,pge
115,pge:10138,Arco da Calheta,-17.141500,32.708200,439,pt,2,2,1,1,2,2,2,1,pge:10138,,launch,0,pge:10138,pge
116,pge:10139,Prazeres,-17.212200,32.749400,545,pt,2,2,1,0,1,2,2,0,pge:10139,,launch,0,pge:10139,pge
117,pge:10140,Faja da Ovelha,-17.234200,32.770800,407,pt,0,1,2,2,2,2,1,0,pge:10140,,launch,0,pge:10140,pge
118,pge:10141,Raposeira,-17.225400,32.766700,543,pt,0,1,1,1,2,2,2,0,pge:10141,,launch,0,pge:10141,pge
119,pge:10142,Paul da Serra Cristo Rei,-17.098300,32.734900,1322,pt,1,1,1,2,2,2,1,1,pge:10142,,launch,0,pge:10142,pge
120,pge:10143,Paul da Serra Juncal,-17.100400,32.742400,1369,pt,1,1,2,2,2,2,1,0,pge:10143,,launch,0,pge:10143,pge
121,pge:10144,Pico Gordo,-17.149300,32.765400,1250,pt,0,1,1,1,2,2,2,0,pge:10144,,launch,0,pge:10144,pge
122,pge:10145,Ponta do Pargo Casa de Cha,-17.255800,32.808200,252,pt,0,1,1,1,1,2,2,0,pge:10145,,launch,0,pge:10145,pge
123,pge:10146,Ponta do Pargo Capela,-17.245500,32.825100,306,pt,1,0,0,0,0,0,1,2,pge:10146,,launch,0,pge:10146,pge
124,pge:10147,Paul da Serra,-17.098900,32.753100,1419,pt,2,2,2,2,2,2,2,2,pge:10147,,launch,1,pge:10147,pge
125,pge:10149,Barra do Cuanza,13.133300,-9.308330,58,ao,0,0,0,0,0,1,2,1,pge:10149,,launch,0,pge:10149,pge
126,pge:10150,Sainte-Victoire - Pic des Mouches,5.644720,43.538900,990,fr,0,0,0,1,2,1,0,0,pge:10150,,launch,0,pge:10150,pge
127,pge:10151,Porto da Cruz - Lamaceiros (Madeira),-16.836300,32.745500,732,pt,2,1,0,0,0,0,0,1,pge:10151,,launch,0,pge:10151,pge
128,pge:10152,Ponta da Cruz (Funchal),-16.947300,32.635400,31,pt,2,1,1,1,1,1,1,1,pge:10152,,launch,0,pge:10152,pge
129,pge:10153,Massanera,11.555900,43.701300,1071,it,0,0,0,0,1,1,2,1,pge:10153,,launch,0,pge:10153,pge
130,pge:10154,Serrone,13.090300,41.848200,883,it,0,0,0,2,2,2,1,0,pge:10154,,launch,0,pge:10154,pge
131,pge:10155,Pizzorne,10.584600,43.934100,948,it,0,0,0,0,1,2,1,1,pge:10155,,launch,0,pge:10155,pge
132,pge:10156,Tivoli,12.807000,41.941800,505,it,0,0,0,0,0,2,2,2,pge:10156,,launch,0,pge:10156,pge
133,pge:10157,Cervara,13.074400,41.984400,1157,it,0,0,0,0,0,2,0,0,pge:10157,,launch,0,pge:10157,pge
134,pge:10158,M.te Gennaro,12.823900,42.035500,713,it,0,0,0,0,0,2,2,0,pge:10158,,launch,0,pge:10158,pge
135,pge:10159,Trevignano,12.263200,42.166900,322,it,0,0,0,0,2,2,0,0,pge:10159,,launch,0,pge:10159,pge
136,pge:10160,Genzano,12.671600,41.698400,340,it,0,0,0,0,0,0,2,2,pge:10160,,launch,0,pge:10160,pge
137,pge:10161,Gioia dei Marsi,13.717700,41.950400,1323,it,0,0,0,0,0,2,2,0,pge:10161,,launch,0,pge:10161,pge
138,pge:10162,Lago di Albano,12.675400,41.760000,477,it,0,0,0,0,0,2,0,0,pge:10162,,launch,0,pge:10162,pge
139,pge:10163,Dzialy,21.840800,49.737400,473,pl,0,0,0,1,2,1,0,0,pge:10163,,launch,0,pge:10163,pge
140,pge:10164,Iskszynia,21.820200,49.654600,293,pl,0,1,2,1,0,1,2,1,pge:10164,,launch,1,pge:10164,pge
141,pge:10166,Faraya - Mzar,35.839200,33.965400,2410,lb,0,0,0,0,0,1,2,1,pge:10166,,launch,0,pge:10166,pge
142,pge:10169,Taldy,79.782600,50.393000,201,kz,2,2,2,2,2,2,2,2,pge:10169,,launch,1,pge:10169,pge
143,pge:10170,Virgen Startplatz 1,12.426444,47.024700,2098,at,0,0,1,1,1,0,0,0,dhv:1511-virgen-startplatz-1;pge:10170,,launch,0,dhv:1511;pge:10170,dhv
144,pge:10171,Point Cartwright 'Carties',153.137000,-26.674500,17,au,0,0,1,2,1,0,0,0,pge:10171,,launch,0,pge:10171,pge
145,pge:10172,Mont Blanc,6.864100,45.833300,4536,fr,1,0,0,0,1,0,0,1,pge:10172,,launch,0,pge:10172,pge
146,pge:10173,Corteno Golgi,10.254700,46.179200,1492,it,0,0,2,2,2,2,2,0,pge:10173,,launch,0,pge:10173,pge
147,pge:10174,Cevo Dos del Curu,10.387600,46.103500,2012,it,0,0,1,1,1,1,1,0,pge:10174,,launch,0,pge:10174,pge
148,pge:10175,diriomito,-86.057000,11.941600,397,ni,0,0,2,2,0,0,0,0,pge:10175,,launch,0,pge:10175,pge
149,pge:10176,Praia Mole - NE,-48.437700,-27.609100,82,br,1,2,2,0,0,0,0,0,pge:10176,,launch,0,pge:10176,pge
150,pge:10177,Lagoa da Conceição,-48.479600,-27.598500,178,br,0,0,1,2,1,0,0,0,pge:10177,,launch,0,pge:10177,pge
151,pge:10182,Rapa Rosie,23.596100,45.986000,400,ro,0,0,0,0,1,2,2,1,pge:10182,,launch,0,pge:10182,pge
152,pge:10184,Kolba¤ck,12.664400,58.054200,105,se,2,2,2,1,2,2,2,2,pge:10184,,launch,1,pge:10184,pge
153,pge:10185,Stranik,18.825600,49.236500,740,sk,0,0,0,0,2,2,2,1,pge:10185,,launch,0,pge:10185,pge
154,pge:10186,shahran (peak),51.285100,35.807600,2320,ir,0,0,1,1,2,1,0,0,pge:10186,,launch,0,pge:10186,pge
155,pge:10187,El Águila,-55.778400,-34.770600,17,uy,0,0,2,0,0,0,0,0,pge:10187,,launch,0,pge:10187,pge
156,pge:10189,sierra de los caracoles,-54.930000,-34.572600,228,uy,0,0,0,2,0,0,0,0,pge:10189,,launch,0,pge:10189,pge
157,pge:10190,pan de azucar,-55.259100,-34.809400,375,uy,1,1,1,2,1,1,1,1,pge:10190,,launch,0,pge:10190,pge
158,pge:10191,Punta ballena,-55.043100,-34.910400,40,uy,0,0,0,2,0,0,0,0,pge:10191,,launch,0,pge:10191,pge
159,pge:10193,Mangart,13.640400,46.432700,1930,si,0,0,0,0,2,2,0,0,pge:10193,,launch,0,pge:10193,pge
160,pge:10195,Xi Shan  West mountain,102.633000,24.910100,2248,cn,0,1,2,2,1,0,0,0,pge:10195,,launch,0,pge:10195,pge
161,pge:10196,Castle Rock,172.698000,-43.590900,12,nz,2,2,2,0,0,0,0,0,pge:10196,,launch,0,pge:10196,pge
162,pge:10197,"Hemnes, Kangsen",13.860600,66.108600,700,no,0,0,1,1,2,2,2,2,pge:10197,,launch,0,pge:10197,pge
163,pge:10198,Gljiva,18.383800,42.732900,720,ba,0,0,0,1,2,1,0,0,pge:10198,,launch,0,pge:10198,pge
164,pge:10199,"Kamenáč ZJZ, Z, SZ",16.763700,50.054400,677,cz,0,0,0,0,0,2,1,2,pge:10199,,launch,0,pge:10199,pge
165,pge:10200,Tenerife - Ladera de Guimar,-16.418200,28.291500,707,es,0,1,2,0,0,0,0,0,pge:10200,,launch,1,pge:10200,pge
166,pge:10201,Øksnanuten,5.981670,58.760800,380,no,2,1,0,0,1,1,2,2,pge:10201,,launch,0,pge:10201,pge
167,pge:10202,Ponzos,-8.254100,43.551100,279,es,0,0,0,0,0,1,2,2,pge:10202,,launch,0,pge:10202,pge
168,pge:10203,Moechisa,-77.426900,1.120800,2652,co,2,0,0,0,0,0,0,2,pge:10203,,launch,1,pge:10203,pge
169,pge:10204,Colina del Cuervo,-5.612500,43.550200,88,es,1,2,1,0,0,0,0,0,pge:10204,,launch,0,pge:10204,pge
170,pge:10205,Malic,15.205600,46.182200,881,si,0,0,0,2,2,0,0,0,pge:10205,,launch,0,pge:10205,pge
171,pge:10206,La Calera,-73.994100,4.724100,3004,co,0,2,2,2,0,1,1,0,pge:10206,,launch,0,pge:10206,pge
172,pge:10207,Cundur,-77.262800,1.386060,2262,co,2,0,1,0,0,0,0,0,pge:10207,,launch,0,pge:10207,pge
173,pge:10208,Bucaramanga / Ruitoque - Las Aguilas,-73.091000,7.043300,1143,co,2,0,0,0,0,0,2,2,pge:10208,,launch,1,pge:10208,pge
174,pge:10210,Killiney Hill,-6.111770,53.265400,136,ie,0,0,1,2,1,0,0,0,pge:10210,,launch,0,pge:10210,pge
175,pge:10211,Piedechinche Take Off,-76.169700,3.646620,2044,co,0,0,0,1,1,2,2,2,pge:10211,,launch,0,pge:10211,pge
176,pge:10212,"Wayra, Ansermanuevo",-76.006300,4.813890,1470,co,0,0,1,2,1,0,0,0,pge:10212,,launch,0,pge:10212,pge
177,pge:10213,Golondrinas,-76.542400,3.495650,1458,co,0,0,2,0,0,0,0,0,pge:10213,,launch,0,pge:10213,pge
178,pge:10214,Buenavista,-75.729300,4.351100,1858,co,0,0,0,0,0,2,2,2,pge:10214,,launch,0,pge:10214,pge
179,pge:10215,Releul de la Inuri,23.440600,46.061100,878,ro,0,1,2,2,1,2,2,1,pge:10215,,launch,0,pge:10215,pge
180,pge:10216,Micesti,23.528100,46.101100,440,ro,1,2,1,0,0,0,0,0,pge:10216,,launch,0,pge:10216,pge
181,pge:10217,Frailes,-102.540000,22.725400,2574,mx,0,1,2,1,0,0,0,0,pge:10217,,launch,0,pge:10217,pge
182,pge:10218,Sutton Bank,-1.217410,54.242600,282,gb,0,0,0,0,0,2,2,0,pge:10218,,launch,0,pge:10218,pge
183,pge:10220,Zopilotes,-102.556000,22.824200,2500,mx,0,0,0,0,0,1,2,2,pge:10220,,launch,0,pge:10220,pge
184,pge:10221,Pico Muelas-Boniar,-5.375000,42.873200,1545,es,0,0,0,1,2,2,2,1,pge:10221,,launch,0,pge:10221,pge
185,pge:10222,Sotillos,-5.192800,42.853700,1576,es,0,1,2,1,0,0,0,0,pge:10222,,launch,0,pge:10222,pge
186,pge:10223,San Cristobal de Valdueza,-6.514950,42.451300,1337,es,1,0,0,0,0,1,2,2,pge:10223,,launch,0,pge:10223,pge
187,pge:10224,Pando Quintanilla de Babia,-6.161200,42.935000,1610,es,2,1,0,0,2,1,0,1,pge:10224,,launch,0,pge:10224,pge
188,pge:10225,Laderona Piedrafita,-6.202600,42.969600,1474,es,0,0,0,0,0,2,1,0,pge:10225,,launch,0,pge:10225,pge
189,pge:10226,La Mora Quintanilla de Babia,-6.196500,42.910700,1569,es,2,1,0,0,0,0,0,1,pge:10226,,launch,0,pge:10226,pge
